0,1,2,3,4,5,6,7,8,9
1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,
0.24279,0.03688,0.33207,0.24388,0.99549,0.94679,0.96400,0.45714,0.15305,0.97304,
0.20612,0.03688,0.27223,0.42791,0.48830,0.10292,0.13645,0.16433,0.48146,0.11626,
0.53452,0.34449,0.60958,0.18956,0.45187,0.42705,0.38706,0.16433,0.67288,0.57784,
0.40754,0.18759,0.72360,0.52449,0.29026,0.64775,0.62652,0.16433,0.45187,0.71445,
0.66206,0.54814,0.48260,0.39866,0.59565,0.70846,0.73196,0.16433,0.31620,0.60127,
0.18731,0.19550,0.27697,0.44542,0.71679,0.77016,0.29494,0.34785,0.42604,0.00675,
0.13128,0.56226,0.37354,0.33351,0.04361,0.03868,0.29494,0.11774,0.30342,0.21516,
0.19190,0.27703,0.21432,0.24592,0.60969,0.03868,0.01577,0.57329,0.73092,0.74258,
0.34247,0.44946,0.02153,0.03830,0.59362,0.09165,0.01577,0.58828,0.89077,0.15927,
0.28046,0.45346,0.03580,0.17864,0.46566,0.03186,0.01577,0.44740,0.15927,0.36446,
0.35702,0.03246,0.22416,0.05421,0.02888,0.10520,0.01577,0.34250,0.03384,0.29242,
0.02888,0.26644,0.31851,0.19259,0.03899,0.03917,0.01577,0.04912,0.04237,0.37063,
0.36339,0.14865,0.29058,0.02263,0.61212,0.06939,0.07510,0.01214,0.19217,0.22989,
0.14498,0.08922,0.44182,0.27014,0.54264,0.08666,0.09317,0.15990,0.12512,0.54264,
0.16117,0.08707,0.24941,0.07001,0.23721,0.08666,0.08333,0.12839,0.00736,0.13516,
0.04139,0.02070,0.17356,0.22892,0.06856,0.06856,0.18501,0.21098,0.17427,0.05113,
0.02966,0.00318,0.04185,0.11896,0.06856,0.00933,0.08492,0.08057,0.09511,0.01843,
0.05271,0.05507,0.02252,0.11236,0.06856,0.06159,0.05032,0.04223,0.05386,0.06101,
0.05271,0.04741,0.04717,0.13119,0.04501,0.04536,0.04861,0.04534,0.05132,0.02572,
0.07059,0.02219,0.04717,0.19229,0.02285,0.02345,0.04506,0.04974,0.06282,0.05795,
0.03693,0.03789,0.04717,0.05335,0.03717,0.06130,0.07208,0.08153,0.05227,0.02992,
0.05718,0.07745,0.04717,0.02394,0.04399,0.07375,0.03481,0.05335,0.00727,0.06454,
0.06459,0.15088,0.04717,0.04698,0.06643,0.02142,0.05306,0.12002,0.09224,0.11063,
0.06916,0.06237,0.04717,0.09605,0.09320,0.10591,0.08474,0.07790,0.08178,0.06878,
0.07713,0.16139,0.04717,0.01921,0.02357,0.06237,0.20598,0.02189,0.04761,0.08814,
0.07293,0.08678,0.04717,0.12214,0.12604,0.08211,0.30520,0.11243,0.04891,0.19262,
0.12011,0.14572,0.04717,0.10126,0.08371,0.19267,0.10179,0.24260,0.16269,0.06784,
0.26937,0.00423,0.04717,0.06698,0.07740,0.28360,0.17879,0.31683,0.12213,0.14302,
0.27229,0.13916,0.04717,0.05171,0.16018,0.05982,0.30298,0.13241,0.15447,0.22655,
0.01632,0.16820,0.04717,0.13836,0.16518,0.09760,0.15759,0.17057,0.02679,0.18892,
0.01632,0.06593,0.08567,0.25990,0.02839,0.25452,0.30237,0.19377,0.07315,0.35115,
0.01632,0.02050,0.09037,0.08396,0.11995,0.25988,0.23219,0.07058,0.05917,0.19633,
0.01632,0.06588,0.06819,0.06340,0.11464,0.20472,0.18076,0.08692,0.06347,0.10406,
0.02348,0.05881,0.06869,0.09845,0.09311,0.17368,0.13427,0.00492,0.06867,0.08831,
0.08910,0.42972,0.03466,0.60346,0.19800,0.59990,0.16045,0.00788,0.74451,0.02679,
0.07075,0.12970,0.03466,0.00929,0.13557,0.57666,0.05316,0.03673,0.19233,0.09485,
0.07295,0.55580,0.06084,0.30645,0.70351,0.38615,0.23945,0.03673,0.23551,0.59709,
0.29343,0.24908,0.06168,0.07487,0.06084,0.14267,0.33694,0.03673,0.25900,0.51411,
0.32957,0.10323,0.14172,0.00081,0.26236,0.09637,0.23772,0.19292,0.15623,0.14635,
0.75504,0.76628,1.16726,1.19564,1.43875,0.57305,0.95748,1.18561,1.33006,1.07041,
