0,1,2,3,4,5,6,7,8,9
1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,
0.52020,0.17812,0.54891,0.54664,0.73383,0.29272,0.20822,0.27609,0.94236,0.97281,
0.39159,0.09325,0.30939,0.15219,0.56486,0.14414,0.20822,0.13283,0.46561,0.07314,
0.21163,0.01221,0.07961,0.12155,0.09197,0.06219,0.09764,0.14582,0.11976,0.12278,
0.62582,0.23321,0.57765,0.61863,0.81496,0.45565,0.72273,0.39693,0.52437,0.23523,
0.28460,0.29382,0.14438,0.25799,0.09696,0.41340,0.31845,0.13975,0.13709,0.23523,
0.24477,0.09746,0.08293,0.10579,0.09276,0.08005,0.19641,0.06563,0.08168,0.23523,
0.10378,0.04592,0.02415,0.01039,0.09618,0.08557,0.14120,0.06563,0.05958,0.06400,
0.02988,0.04592,0.10469,0.10125,0.03909,0.08296,0.10401,0.07225,0.11760,0.09211,
0.05791,0.07804,0.08058,0.09789,0.03909,0.09055,0.09714,0.09286,0.07580,0.04366,
0.09438,0.02504,0.10492,0.02341,0.03909,0.02051,0.07769,0.03429,0.09392,0.08779,
0.05608,0.07873,0.08517,0.16840,0.01539,0.02051,0.07420,0.01112,0.09019,0.09571,
0.88019,0.88355,0.58083,0.64271,0.88928,0.61493,0.62798,0.65532,0.46729,0.33314,
0.88019,0.87994,0.77245,0.80255,0.76919,0.79099,0.77335,0.76348,0.71494,0.70558,
0.82338,0.87994,0.83526,0.84991,0.83392,0.83756,0.82459,0.81853,0.80524,0.80520,
0.85627,0.87994,0.86103,0.85317,0.86095,0.85962,0.85322,0.84938,0.84939,0.85058,
0.87011,0.87994,0.86743,0.86664,0.87212,0.86950,0.86854,0.86495,0.86534,0.86567,
0.86988,0.86885,0.86743,0.86825,0.86918,0.86735,0.86909,0.86494,0.86762,0.86574,
0.86558,0.86814,0.86781,0.86619,0.86870,0.86531,0.86625,0.86450,0.86791,0.86574,
0.86421,0.86551,0.86699,0.86409,0.86474,0.86364,0.86621,0.86450,0.86703,0.86595,
0.86563,0.86627,0.86493,0.86557,0.86380,0.86492,0.86410,0.86450,0.86401,0.86440,
0.86585,0.86581,0.86385,0.86372,0.86538,0.86592,0.86552,0.86529,0.86548,0.86440,
0.86853,0.86198,0.85891,0.85886,0.86177,0.86968,0.86985,0.85980,0.86836,0.86440,
0.85497,0.85616,0.84858,0.86995,0.87081,0.87409,0.87166,0.84916,0.85484,0.86440,
0.83935,0.85085,0.83489,0.85053,0.85136,0.84279,0.88105,0.84473,0.84800,0.86440,
