0,1,2,3,4,5,6,7,8,9
1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,
0.88182,0.97493,0.40319,0.43428,0.97243,0.97272,0.02069,0.69195,0.10046,0.20347,
0.48107,0.07271,0.17998,0.39439,0.64245,0.72336,0.02069,0.23650,0.07182,0.01595,
0.08574,0.13062,0.26531,0.48398,0.24427,0.00178,0.15003,0.11554,0.06628,0.38100,
0.60682,1.18167,0.83908,0.50285,0.74210,0.07304,0.60657,0.42994,0.45336,0.75001,
0.32551,0.15868,0.49933,0.21342,0.40543,0.07304,0.37192,0.27717,0.21373,0.41207,
0.21328,0.08336,0.06304,0.11690,0.21943,0.07304,0.12097,0.14652,0.01508,0.22375,
0.04558,0.07306,0.08018,0.06281,0.12204,0.07256,0.04890,0.08594,0.01508,0.08763,
0.04791,0.07146,0.08507,0.08299,0.01952,0.08455,0.09112,0.05605,0.01508,0.07830,
0.03633,0.05343,0.02078,0.05670,0.08455,0.08020,0.04516,0.06972,0.01508,0.00635,
1.03971,0.84676,0.54319,0.97900,0.57579,0.39745,0.34156,0.75550,0.66602,0.55876,
0.46742,0.62966,0.54319,0.73960,0.58494,0.03434,0.42273,0.60000,0.62330,0.50376,
0.46319,0.44930,0.48914,0.40477,0.44510,0.20958,0.42273,0.45924,0.49401,0.43853,
0.41449,0.39109,0.46633,0.40477,0.39592,0.33367,0.38588,0.40778,0.38182,0.39397,
0.34577,0.38229,0.38526,0.39025,0.34360,0.33367,0.38719,0.38933,0.37884,0.38468,
0.31168,0.37949,0.38805,0.33241,0.31727,0.33367,0.38151,0.38265,0.37749,0.38054,
0.31168,0.37382,0.31424,0.29404,0.29147,0.35101,0.37530,0.32522,0.36669,0.37422,
0.32395,0.30543,0.32593,0.31515,0.29147,0.29979,0.33766,0.33128,0.35744,0.30525,
0.33009,0.32765,0.33123,0.28050,0.29147,0.31783,0.33693,0.28346,0.27675,0.32087,
0.28277,0.28136,0.27797,0.28050,0.25784,0.27734,0.27273,0.25382,0.30154,0.32332,
0.30749,0.29971,0.29824,0.30636,0.23722,0.30459,0.27273,0.28626,0.25891,0.24645,
0.29891,0.31603,0.30834,0.26627,0.23076,0.25899,0.27273,0.25114,0.23728,0.28307,
0.31218,0.24267,0.30965,0.26627,0.27905,0.29294,0.30011,0.23414,0.27442,0.25047,
0.27885,0.26254,0.30195,0.27419,0.23317,0.28718,0.29827,0.23414,0.27788,0.26615,
0.23245,0.22409,0.28376,0.22392,0.23317,0.23692,0.23445,0.26451,0.23085,0.22587,
0.20182,0.20284,0.20828,0.19766,0.26321,0.20358,0.20925,0.27908,0.23085,0.20385,
0.17258,0.20284,0.17462,0.17568,0.25739,0.17788,0.23831,0.17790,0.18649,0.22824,
0.21229,0.20284,0.22046,0.21363,0.16607,0.21561,0.18996,0.21521,0.21942,0.18488,
0.18237,0.20284,0.22697,0.18332,0.20940,0.24110,0.16507,0.18403,0.23564,0.22528,
0.16825,0.20284,0.19016,0.16932,0.18103,0.17135,0.15369,0.21871,0.24364,0.18337,
0.15381,0.22174,0.19016,0.20504,0.15489,0.15050,0.20294,0.23653,0.15443,0.21160,
0.19760,0.17519,0.19016,0.23024,0.19767,0.20136,0.22206,0.15496,0.19753,0.17061,
0.21896,0.15696,0.19016,0.15912,0.16364,0.22928,0.17519,0.14656,0.22551,0.21166,
0.17390,0.19976,0.19016,0.19982,0.15080,0.21121,0.21434,0.20189,0.18417,0.17723,
0.15627,0.16393,0.19016,0.21984,0.19661,0.17568,0.16401,0.17070,0.16160,0.15281,
0.19216,0.19553,0.20133,0.19925,0.15378,0.13694,0.19637,0.14197,0.16160,0.18275,
