0,1,2,3
4.89532,66.36911,0.00000,0.00000
5.13866,79.29530,-0.27227,0.26699
5.45980,71.40611,0.02888,0.28735
7.29705,84.38039,0.04242,0.09199
5.71676,55.75968,0.62601,0.14518
5.63304,60.00648,0.48191,0.24582
5.30532,30.33029,0.43194,-0.58170
4.53227,72.38431,-0.32774,-0.14705
4.33792,69.66814,-0.04494,-0.47626
4.95424,50.69733,0.32011,-0.20209
4.92061,72.36679,-0.22104,0.00636
4.94138,59.21637,0.62390,-0.15580
4.43227,61.47066,0.28083,-0.41614
5.73259,54.02015,0.76011,0.14378
4.94215,28.29984,0.18125,-0.67543
4.34528,72.20475,-0.16243,-0.33823
4.64820,64.77740,0.39488,-0.50396
5.32553,44.43887,0.75018,-0.25107
5.98451,76.75198,0.11157,0.68738
6.04207,80.04105,0.79226,-0.61264
4.83117,87.00951,-0.75511,0.23306
5.24780,85.15106,-0.55568,-0.21727
5.75758,80.33850,-0.23597,0.63630
4.28764,48.43832,0.52214,-0.79259
2.71740,52.46099,-0.49568,-0.75070
5.54477,58.76842,0.43666,0.13949
5.06742,38.13821,0.44972,-0.45207
3.66847,35.29851,0.01812,-0.77012
4.71203,39.97296,0.39334,-0.49330
7.25872,89.17799,-0.75104,-0.14879
6.06320,70.48409,0.55685,0.44119
4.94051,55.58202,0.27716,-0.15728
5.42703,63.83341,0.41845,0.14967
5.19124,52.32611,0.54444,-0.13460
4.16518,56.97149,0.32302,-0.47455
6.19058,66.01685,0.68014,0.58865
2.94990,47.42221,-0.35331,-0.78216
4.14735,59.43963,0.41836,-0.79463
6.20916,74.95099,0.07443,0.73800
6.57876,71.67239,0.67604,0.79848
4.53213,86.52917,-0.77376,0.12258
2.86506,70.15781,-0.61494,-0.75101
5.90093,69.76576,0.19208,0.44900
4.32456,62.76831,0.33117,-0.44123
4.62022,44.36108,0.30437,-0.44715
5.92448,86.37750,-0.72253,0.78638
5.06282,68.52714,0.10453,0.00974
6.03610,25.66021,0.59172,-0.62644
3.88018,57.91008,-0.22494,-0.42950
6.18778,62.05746,0.74255,0.50969
7.40860,87.73816,-0.47793,-0.41103
5.05686,76.54572,-0.62277,0.08474
6.36269,81.14082,-0.02456,0.73697
5.55149,65.14559,0.38522,0.23882
4.55739,51.60374,0.35398,-0.37021
3.81881,63.93229,-0.29874,-0.46007
7.36193,12.79890,-0.01480,-0.77678
5.65177,77.80144,-0.00258,0.43499
6.51310,77.26994,0.28931,0.65761
4.21853,79.19899,-0.40085,-0.25623
4.92314,47.84950,0.35228,-0.27398
3.25019,54.70216,-0.07301,-0.79138
5.10991,78.24590,-0.73271,-0.07721
6.35650,76.83495,0.35122,0.73098
5.63664,76.48177,0.41864,-0.41266
5.89450,84.27829,-0.41600,0.56804
5.21786,87.58091,-0.72549,0.15008
6.74646,89.06799,-0.79636,0.69847
5.05372,85.62620,-0.74621,0.34597
4.87841,82.80379,-0.45784,-0.00758
3.10199,63.09379,-0.53686,-0.61323
5.44726,74.73273,0.29634,0.02143
3.71313,80.01952,-0.54028,-0.39844
7.09456,87.62382,-0.53579,0.41130
4.30386,58.79956,0.44087,-0.62130
5.40969,75.59180,-0.20308,0.29915
5.53851,30.14749,0.53469,-0.54230
5.50592,80.28561,-0.12124,0.16335
6.11444,61.80566,0.63858,0.46804
6.22751,74.36973,0.38616,0.75166
5.90209,85.96655,-0.57011,0.62764
5.73561,71.02319,0.36746,0.33518
5.04204,72.89905,0.06824,0.11882
4.63310,74.64662,-0.26980,-0.13845
5.57791,50.38928,0.66830,-0.03153
5.50270,84.84898,-0.54773,0.46401
6.28393,78.64576,0.12182,0.76707
5.39945,62.88139,0.37077,0.16340
4.37532,71.02648,-0.78356,-0.48951
6.48720,87.20914,-0.50432,-0.48746
4.31442,65.93144,-0.24826,-0.25726
4.25410,29.49249,-0.63073,-0.74340
5.92576,74.62627,0.18561,0.65518
4.19035,39.01910,0.10134,-0.59954
6.02426,67.11998,0.67017,0.43661
5.93812,65.79639,0.65116,0.42503
5.29662,83.61433,-0.44347,0.21383
5.20976,82.99688,-0.49631,0.37663
4.53714,76.00292,-0.25348,-0.03656
4.38131,60.97626,0.14829,-0.32596
5.03819,28.09204,0.67923,-0.71052
