0,1,2,3,4,5,6,7,8,9
1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,
0.92838,0.47217,1.24749,0.23043,1.28645,0.04618,0.89741,0.62233,1.07286,1.07035,
0.46335,0.16896,1.01293,0.23043,0.34327,0.12130,0.37090,0.19719,0.90377,0.81793,
0.40863,0.25189,0.69716,0.13612,0.34327,0.03782,0.30086,0.16440,0.54371,0.48270,
0.15850,0.08915,0.34005,0.10931,0.10136,0.03782,0.09957,0.08889,0.27133,0.24788,
0.09731,0.07388,0.22036,0.04434,0.09847,0.03782,0.09179,0.05630,0.13485,0.12117,
0.08489,0.07388,0.07346,0.04662,0.08077,0.04313,0.02403,0.05728,0.08801,0.01651,
0.04382,0.03930,0.07383,0.06365,0.08027,0.08538,0.02403,0.08152,0.08528,0.10080,
0.08060,0.06095,0.02221,0.06865,0.10365,0.04158,0.02403,0.10222,0.02586,0.04137,
0.07385,0.07613,0.02221,0.04858,0.02121,0.08510,0.09806,0.09676,0.05237,0.05943,
0.01672,0.04726,0.02221,0.06364,0.09954,0.07332,0.01885,0.09470,0.07944,0.07596,
0.08182,0.05985,0.02221,0.07159,0.03726,0.01468,0.05572,0.01984,0.04321,0.09860,
0.03956,0.06826,0.02221,0.04748,0.05773,0.07422,0.06481,0.04993,0.07640,0.01966,
0.07647,0.07331,0.02221,0.08435,0.07020,0.10206,0.01832,0.06246,0.04165,0.05534,
0.07647,0.07331,0.02221,0.08435,0.07020,0.10206,0.01832,0.02441,0.04165,0.05534,
0.03946,0.07242,0.02221,0.04128,0.09973,0.02141,0.07281,0.05106,0.05772,0.06986,
0.05688,0.07495,0.02221,0.05847,0.06367,0.07952,0.01902,0.06434,0.06765,0.09597,
0.06640,0.02316,0.02221,0.06774,0.02347,0.01414,0.05437,0.07099,0.07266,0.10027,
0.01833,0.09984,0.02221,0.04641,0.08150,0.05612,0.06526,0.02020,0.07504,0.10288,
0.01833,0.09295,0.04664,0.05801,0.09564,0.06288,0.06780,0.07257,0.07580,0.10369,
0.01833,0.07595,0.05894,0.06651,0.02543,0.01547,0.10252,0.02159,0.02025,0.07830,
0.01833,0.09671,0.08425,0.07655,0.08083,0.09937,0.10184,0.05178,0.04755,0.01944,
0.01833,0.02052,0.09536,0.09811,0.07156,0.09265,0.10316,0.06105,0.07986,0.10126,
0.01833,0.04771,0.01872,0.10168,0.02621,0.07966,0.02266,0.06564,0.09440,0.10205,
0.01833,0.04771,0.01872,0.10168,0.02621,0.07966,0.02266,0.06564,0.07917,0.10205,
0.01833,0.09757,0.09463,0.02254,0.07616,0.09708,0.04978,0.06823,0.07573,0.09562,
0.04634,0.04174,0.10050,0.02254,0.07618,0.07442,0.08486,0.01892,0.10000,0.02427,
0.06665,0.07628,0.09631,0.02254,0.09572,0.10234,0.04189,0.09962,0.09674,0.04977,
0.04104,0.10344,0.07171,0.02254,0.01808,0.01751,0.05851,0.01746,0.09651,0.07902,
0.08266,0.10070,0.10233,0.02254,0.09807,0.07848,0.06895,0.05394,0.10279,0.07627,
0.09872,0.09988,0.07185,0.02254,0.07346,0.09596,0.04410,0.07422,0.09799,0.01695,
0.09872,0.09988,0.07185,0.02254,0.07346,0.09596,0.04410,0.07422,0.08260,0.01695,
0.02659,0.01685,0.02216,0.02254,0.09392,0.01545,0.05856,0.04337,0.01351,0.09580,
0.05219,0.04930,0.07478,0.02254,0.06736,0.05181,0.06625,0.05895,0.08054,0.03806,
0.07519,0.07620,0.09728,0.02254,0.10247,0.06224,0.01929,0.07401,0.07860,0.08437,
0.04308,0.10176,0.01428,0.02254,0.10081,0.07046,0.09701,0.10003,0.09599,0.07194,
0.05794,0.09661,0.05103,0.02254,0.09997,0.09752,0.01375,0.06775,0.01821,0.02660,
0.06658,0.10319,0.08419,0.02254,0.09438,0.10307,0.07186,0.10326,0.05063,0.07343,
0.06924,0.02503,0.04299,0.02254,0.01941,0.02769,0.07423,0.02432,0.06145,0.10338,
0.07108,0.04950,0.05916,0.02254,0.04763,0.05099,0.02134,0.04982,0.01737,0.01964,
0.07270,0.06182,0.06881,0.02254,0.07426,0.07540,0.08189,0.06139,0.04504,0.05202,
