0,1,2,3,4,5,6,7,8,9
1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,
0.73338,0.15816,0.47994,0.29082,0.75565,0.54770,0.86639,0.52004,0.64763,0.54791,
0.35833,0.15816,0.24242,0.20046,0.36513,0.16159,0.46843,0.24173,0.66465,0.28747,
0.16973,0.11100,0.14876,0.17199,0.12410,0.16159,0.30500,0.07079,0.33201,0.10927,
0.10109,0.11100,0.10177,0.17680,0.05361,0.14608,0.07030,0.08616,0.06148,0.10090,
0.05561,0.04837,0.06662,0.10000,0.04680,0.10193,0.09330,0.03145,0.06148,0.09682,
0.04143,0.04837,0.03316,0.05379,0.08380,0.06543,0.05974,0.07336,0.08191,0.03357,
0.07455,0.08464,0.03316,0.05088,0.09407,0.03894,0.09237,0.10356,0.08722,0.07809,
0.10185,0.09907,0.03316,0.04968,0.04384,0.07857,0.06398,0.06106,0.06724,0.08701,
0.09253,0.03484,0.03316,0.04924,0.07645,0.03583,0.07390,0.08415,0.07341,0.03118,
0.10198,0.05534,0.10040,0.04892,0.09106,0.03628,0.09052,0.07804,0.09069,0.03118,
0.04820,0.09699,0.09660,0.07957,0.09812,0.05712,0.08603,0.05727,0.09132,0.03118,
0.06452,0.09545,0.02809,0.03879,0.10157,0.09488,0.06464,0.06745,0.02818,0.03118,
0.06901,0.07511,0.02809,0.09664,0.08212,0.09043,0.08573,0.09255,0.06892,0.06906,
0.06960,0.06713,0.02809,0.06284,0.06798,0.08005,0.08147,0.10296,0.10064,0.08144,
0.09102,0.06933,0.02809,0.08539,0.07087,0.04522,0.09541,0.02707,0.09846,0.06562,
0.06041,0.11606,0.08395,0.12140,0.18566,0.16661,0.19364,0.02707,0.07118,0.03743,
0.11024,0.08214,0.10238,0.22913,0.18432,0.18167,0.09281,0.02707,0.09748,0.14527,
0.07469,0.03134,0.13761,0.25989,0.08543,0.14126,0.11296,0.02707,0.14911,0.07807,
0.02045,0.13782,0.08088,0.23199,0.12547,0.08432,0.20002,0.02707,0.10116,0.12007,
0.02045,0.23946,0.16678,0.11597,0.10829,0.18492,0.14006,0.14628,0.04701,0.11885,
0.02045,0.13801,0.05451,0.04863,0.08884,0.14653,0.09739,0.07308,0.07129,0.23110,
0.02045,0.13047,0.08784,0.05013,0.08983,0.08004,0.09640,0.09877,0.08575,0.10918,
0.02045,0.13127,0.08666,0.11565,0.07953,0.04759,0.01153,0.00620,0.04108,0.03992,
0.06901,0.01480,0.12991,0.09197,0.03743,0.02610,0.07631,0.00620,0.10784,0.01446,
0.09534,0.08848,0.05741,0.07339,0.10781,0.01375,0.10226,0.00620,0.09792,0.09231,
0.10342,0.08545,0.02163,0.12315,0.04256,0.07329,0.09798,0.00620,0.07197,0.03869,
0.10288,0.07405,0.01397,0.06228,0.00472,0.09495,0.09938,0.00620,0.03695,0.05197,
0.09671,0.06651,0.00961,0.02941,0.00472,0.09182,0.09660,0.08753,0.01706,0.02613,
0.09885,0.03350,0.03187,0.00783,0.00472,0.01643,0.07776,0.09337,0.09172,0.08571,
0.09582,0.04415,0.04304,0.03121,0.00472,0.08135,0.09341,0.08584,0.01556,0.07482,
0.08293,0.07367,0.01482,0.04261,0.00472,0.07910,0.00659,0.07461,0.00942,0.09127,
0.01928,0.09627,0.01114,0.01372,0.00472,0.00956,0.08915,0.09718,0.00512,0.08616,
0.08250,0.09036,0.09155,0.03436,0.00472,0.09428,0.01264,0.08314,0.09046,0.08090,
0.07867,0.09934,0.10056,0.04422,0.00472,0.10234,0.00656,0.10233,0.01255,0.01910,
0.38506,0.09184,0.40659,0.37312,0.00472,0.40818,0.25865,0.37466,0.38416,0.40961,
0.04637,0.15615,0.42801,0.21397,0.00472,0.22978,0.35392,0.08435,0.22051,0.53143,
0.09592,0.18641,0.22129,0.16254,0.00472,0.21299,0.09868,0.39048,0.21208,0.13132,
0.33083,0.19966,0.05683,0.39106,0.00472,0.40394,0.01053,0.54311,0.00607,0.32856,
0.20290,0.23218,0.09167,0.37096,0.00472,0.24585,0.14867,0.07784,0.16125,0.07111,
0.13039,0.11326,0.04491,0.14984,0.00472,0.15204,0.01254,0.09802,0.09861,0.01788,
0.09524,0.08090,0.05875,0.08468,0.00472,0.10601,0.01203,0.00928,0.01371,0.04025,
0.08440,0.09642,0.03088,0.09272,0.00472,0.10270,0.08173,0.03139,0.00373,0.01211,
0.02053,0.08106,0.05158,0.00708,0.01016,0.10240,0.07365,0.02364,0.00373,0.02501,
