0,1,2,3,4,5,6,7,8,9
1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,1000.00000,
0.22554,1.25570,0.19071,1.32359,1.10731,0.64488,1.10520,0.49167,0.85192,0.67820,
0.22554,0.56169,0.07822,0.58547,0.92477,0.18447,0.74627,0.33071,0.36485,0.47572,
0.11974,0.27411,0.07822,0.08411,0.41251,0.07929,0.24823,0.17680,0.20447,0.22212,
0.01403,0.11868,0.07822,0.01625,0.20311,0.07968,0.06992,0.10073,0.14310,0.07865,
0.07517,0.06941,0.07822,0.01378,0.10022,0.07892,0.01359,0.01452,0.11084,0.00922,
0.07517,0.05879,0.06280,0.08154,0.01322,0.07223,0.08162,0.01381,0.07236,0.00870,
0.01066,0.05879,0.05912,0.06015,0.00394,0.04987,0.05224,0.01814,0.05917,0.06915,
0.06978,0.02123,0.06899,0.08103,0.01563,0.04980,0.05224,0.06928,0.06125,0.04760,
0.05773,0.02246,0.06280,0.06130,0.07006,0.06714,0.05224,0.07958,0.00136,0.01486,
0.02492,0.00957,0.05935,0.05369,0.01470,0.01459,0.05224,0.01555,0.07788,0.01861,
0.02492,0.01611,0.06351,0.02225,0.01955,0.01020,0.06050,0.01487,0.07747,0.01477,
0.02492,0.01247,0.05756,0.01022,0.01166,0.01399,0.01418,0.01838,0.03152,0.01519,
0.02492,0.01697,0.06776,0.01479,0.01258,0.00728,0.01356,0.01038,0.01565,0.03309,
0.02492,0.02198,0.06705,0.01770,0.01351,0.02611,0.07567,0.01007,0.00121,0.01701,
0.02492,0.10323,0.06164,0.01495,0.06318,0.08644,0.08104,0.07591,0.10145,0.08067,
0.02492,0.10582,0.01872,0.06531,0.08795,0.02346,0.01567,0.06302,0.07367,0.06250,
0.09148,0.06443,0.09481,0.12391,0.06696,0.02346,0.14287,0.01293,0.00780,0.12298,
0.00369,0.15449,0.00950,0.02903,0.11944,0.02346,0.15042,0.12588,0.06804,0.13847,
0.05425,0.11356,0.12845,0.02991,0.01892,0.02346,0.06233,0.13447,0.06438,0.07104,
0.13499,0.08897,0.06470,0.11668,0.05397,0.02346,0.06222,0.19086,0.11827,0.07798,
0.07165,0.01669,0.11368,0.06927,0.13542,0.02346,0.03735,0.01292,0.07943,0.10266,
0.07491,0.08679,0.06751,0.00891,0.01100,0.02346,0.05594,0.01317,0.11347,0.01622,
0.09924,0.12613,0.11048,0.09311,0.05593,0.02346,0.10830,0.04671,0.01445,0.10455,
0.12375,0.08364,0.12947,0.09225,0.01139,0.02346,0.17685,0.10874,0.07745,0.08414,
0.18593,0.10698,0.02061,0.12278,0.09157,0.02346,0.00898,0.17602,0.07674,0.01781,
0.21442,0.13145,0.10325,0.14310,0.09319,0.02346,0.08294,0.02063,0.09974,0.13048,
0.22714,0.02388,0.02362,0.19125,0.01386,0.02346,0.01879,0.01033,0.17567,0.18696,
0.22142,0.04974,0.06374,0.26006,0.05589,0.02346,0.06192,0.05616,0.25253,0.25597,
0.00846,0.06824,0.15586,0.28869,0.18855,0.02346,0.18944,0.19268,0.08016,0.08437,
0.13881,0.07097,0.01877,0.09770,0.00720,0.02346,0.13960,0.13920,0.06927,0.12889,
0.02103,0.16495,0.03922,0.13941,0.07782,0.02346,0.24668,0.01195,0.19767,0.23368,
0.15672,0.24574,0.18240,0.08964,0.19916,0.02346,0.16628,0.18488,0.14368,0.08092,
0.11765,0.03649,0.27033,0.14408,0.28106,0.02346,0.00069,0.20281,0.24850,0.09989,
0.22873,0.17163,0.05835,0.02249,0.06562,0.02346,0.07215,0.22312,0.07398,0.17426,
0.07323,0.07807,0.19984,0.02249,0.12468,0.10219,0.14998,0.19700,0.01528,0.17204,
0.17540,0.07594,0.27781,0.02249,0.23011,0.14466,0.23499,0.24202,0.16862,0.23110,
0.12068,0.19190,0.31725,0.02249,0.28852,0.22685,0.06758,0.21223,0.06912,0.05393,
0.18749,0.16479,0.12183,0.02249,0.18841,0.32873,0.06176,0.11882,0.21815,0.01034,
0.01816,0.01764,0.01585,0.02249,0.15762,0.11877,0.06703,0.11489,0.32268,0.22772,
0.11904,0.02878,0.10629,0.02249,0.12659,0.01931,0.07074,0.18950,0.28480,0.15265,
0.00553,0.21407,0.19709,0.02249,0.05949,0.21231,0.26957,0.10696,0.28988,0.01277,
0.04763,0.20977,0.30981,0.02249,0.18186,0.15139,0.05855,0.09832,0.34304,0.24636,
0.06834,0.24754,0.09888,0.02249,0.01249,0.13104,0.22854,0.19067,0.11472,0.33559,
0.23860,0.01440,0.20726,0.02249,0.06741,0.11935,0.02795,0.25407,0.21963,0.11149,
0.01851,0.30686,0.19715,0.02249,0.10071,0.36878,0.16574,0.39574,0.07004,0.01925,
0.32111,0.10074,0.15540,0.02249,0.27943,0.07198,0.32822,0.46613,0.30185,0.30502,
0.05206,0.25063,0.07084,0.02249,0.20465,0.10738,0.01302,0.01666,0.24363,0.41943,
0.35534,0.47925,0.29979,0.02249,0.05173,0.28393,0.20138,0.21563,0.25325,0.46540,
0.24882,0.62610,0.33969,0.02249,0.34958,0.32617,0.24319,0.03175,0.41634,0.182
